"bioc_package","title","gpl","manufacturer","organism","data_row_count","Chip","BrainArrayName","pdName","dbName"
"bovine","[Bovine] Affymetrix Bovine Genome Array","GPL2112","Affymetrix","Bos taurus",24128,"Bovine","Bovine_Bt_ENTREZG","bovine.bt.entrezg","bovinebtentrezg"
"canine2","[Canine_2] Affymetrix Canine Genome 2.0 Array","GPL3738","Affymetrix","Canis lupus familiaris",43035,"Canine2","Canine2_Cf_ENTREZG","canine2.cf.entrezg","canine2cfentrezg"
"celegans","[Celegans] Affymetrix C. elegans Genome Array","GPL200","Affymetrix","Caenorhabditis elegans",22625,"Celegans","Celegans_Ce_ENTREZG","celegans.ce.entrezg","celegansceentrezg"
"chicken","[Chicken] Affymetrix Chicken Genome Array","GPL3213","Affymetrix","Gallus gallus",38535,"Chicken","Chicken_Gg_ENTREZG","chicken.gg.entrezg","chickenggentrezg"
"hcg110","[HC_G110] Affymetrix Human Cancer Array","GPL74","Affymetrix","Homo sapiens",2059,"HCG110","HCG110_Hs_ENTREZG","hcg110.hs.entrezg","hcg110hsentrezg"
"hgfocus","[HG-Focus] Affymetrix Human HG-Focus Target Array","GPL201","Affymetrix","Homo sapiens",8793,"HGFocus","HGFocus_Hs_ENTREZG","hgfocus.hs.entrezg","hgfocushsentrezg"
"hgu133a","[HG-U133A] Affymetrix Human Genome U133A Array","GPL96","Affymetrix","Homo sapiens",22283,"HGU133A","HGU133A_Hs_ENTREZG","hgu133a.hs.entrezg","hgu133ahsentrezg"
"hgu133a2","[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array","GPL571","Affymetrix","Homo sapiens",22277,"HGU133A2","HGU133A2_Hs_ENTREZG","hgu133a2.hs.entrezg","hgu133a2hsentrezg"
"hgu133b","[HG-U133B] Affymetrix Human Genome U133B Array","GPL97","Affymetrix","Homo sapiens",22645,"HGU133B","HGU133B_Hs_ENTREZG","hgu133b.hs.entrezg","hgu133bhsentrezg"
"hgu133plus2","[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array","GPL570","Affymetrix","Homo sapiens",54675,"HGU133Plus2","HGU133Plus2_Hs_ENTREZG","hgu133plus2.hs.entrezg","hgu133plus2hsentrezg"
"hgu133plus2","Affymetrix Human Genome U133 Plus 2.0 Array [Brainarray Version 13, HGU133Plus2_Hs_ENTREZG]","GPL14877","Affymetrix","Homo sapiens",18123,"HGU133Plus2","HGU133Plus2_Hs_ENTREZG","hgu133plus2.hs.entrezg","hgu133plus2hsentrezg"
"hgu219","[HG-U219] Affymetrix Human Genome U219 Array","GPL13667","Affymetrix","Homo sapiens",49386,"HGU219","HGU219_Hs_ENTREZG","hgu219.hs.entrezg","hgu219hsentrezg"
"hgu95av2","[HG_U95A] Affymetrix Human Genome U95A Array","GPL91","Affymetrix","Homo sapiens",12626,"HGU95Av2","HGU95Av2_Hs_ENTREZG","hgu95av2.hs.entrezg","hgu95av2hsentrezg"
"hgu95av2","[HG_U95Av2] Affymetrix Human Genome U95 Version 2 Array","GPL8300","Affymetrix","Homo sapiens",12625,"HGU95Av2","HGU95Av2_Hs_ENTREZG","hgu95av2.hs.entrezg","hgu95av2hsentrezg"
"hgu95b","[HG_U95B] Affymetrix Human Genome U95B Array","GPL92","Affymetrix","Homo sapiens",12620,"HGU95B","HGU95B_Hs_ENTREZG","hgu95b.hs.entrezg","hgu95bhsentrezg"
"hgu95c","[HG_U95C] Affymetrix Human Genome U95C Array","GPL93","Affymetrix","Homo sapiens",12646,"HGU95C","HGU95C_Hs_ENTREZG","hgu95c.hs.entrezg","hgu95chsentrezg"
"hgu95d","[HG_U95D] Affymetrix Human Genome U95D Array","GPL94","Affymetrix","Homo sapiens",12644,"HGU95D","HGU95D_Hs_ENTREZG","hgu95d.hs.entrezg","hgu95dhsentrezg"
"hgu95e","[HG_U95E] Affymetrix Human Genome U95E Array","GPL95","Affymetrix","Homo sapiens",12639,"HGU95E","HGU95E_Hs_ENTREZG","hgu95e.hs.entrezg","hgu95ehsentrezg"
"hthgu133a","[HT_HG-U133A] Affymetrix HT Human Genome U133A Array","GPL3921","Affymetrix","Homo sapiens",22277,"HTHGU133A","HTHGU133A_Hs_ENTREZG","hthgu133a.hs.entrezg","hthgu133ahsentrezg"
"hthgu133a","[HT_HG-U133A] Affymetrix Human Genome U133A Array (custom CDF: HTHGU133A_Hs_ENTREZG.cdf version 17.0.0)","GPL17897","Affymetrix","Homo sapiens",12092,"HTHGU133A","HTHGU133A_Hs_ENTREZG","hthgu133a.hs.entrezg","hthgu133ahsentrezg"
"hthgu133b","[HT_HG-U133B] Affymetrix HT Human Genome U133B Array [custom CDF: ENTREZ brainarray v. 14]","GPL15396","Affymetrix","Homo sapiens",7906,"HTHGU133B","HTHGU133B_Hs_ENTREZG","hthgu133b.hs.entrezg","hthgu133bhsentrezg"
"hu6800","[Hu6800] Affymetrix Human Full Length HuGeneFL Array","GPL80","Affymetrix","Homo sapiens",7129,"Hu6800","Hu6800_Hs_ENTREZG","hu6800.hs.entrezg","hu6800hsentrezg"
"mgu74a","[MG_U74A] Affymetrix Murine Genome U74A Array","GPL32","Affymetrix","Mus musculus",12654,"MGU74A","MGU74A_Mm_ENTREZG","mgu74a.mm.entrezg","mgu74ammentrezg"
"mgu74av2","[MG_U74Av2] Affymetrix Murine Genome U74A Version 2 Array","GPL81","Affymetrix","Mus musculus",12488,"MGU74Av2","MGU74Av2_Mm_ENTREZG","mgu74av2.mm.entrezg","mgu74av2mmentrezg"
"mgu74bv2","[MG_U74Bv2] Affymetrix Murine Genome U74B Version 2 Array","GPL82","Affymetrix","Mus musculus",12477,"MGU74Bv2","MGU74Bv2_Mm_ENTREZG","mgu74bv2.mm.entrezg","mgu74bv2mmentrezg"
"mgu74cv2","[MG_U74Cv2] Affymetrix Murine Genome U74 Version 2 Array","GPL83","Affymetrix","Mus musculus",11934,"MGU74Cv2","MGU74Cv2_Mm_ENTREZG","mgu74cv2.mm.entrezg","mgu74cv2mmentrezg"
"moe430a","[MOE430A] Affymetrix Mouse Expression 430A Array","GPL339","Affymetrix","Mus musculus",22690,"MOE430A","MOE430A_Mm_ENTREZG","moe430a.mm.entrezg","moe430ammentrezg"
"mouse4302","[MOE430B] Affymetrix Mouse Expression 430B Array","GPL340","Affymetrix","Mus musculus",22575,"Mouse4302","Mouse4302_Mm_ENTREZG","mouse4302.mm.entrezg","mouse4302mmentrezg"
"mouse430a2","[Mouse430_2] Affymetrix Mouse Genome 430 2.0 Array","GPL1261","Affymetrix","Mus musculus",45101,"Mouse430A2","Mouse430A2_Mm_ENTREZG","mouse430a2.mm.entrezg","mouse430a2mmentrezg"
"mouse430a2","[Mouse430A_2] Affymetrix Mouse Genome 430A 2.0 Array","GPL8321","Affymetrix","Mus musculus",22690,"Mouse430A2","Mouse430A2_Mm_ENTREZG","mouse430a2.mm.entrezg","mouse430a2mmentrezg"
"mu11ksuba","[Mu11KsubA] Affymetrix Murine 11K SubA Array","GPL75","Affymetrix","Mus musculus",6584,"Mu11KsubA","Mu11KsubA_Mm_ENTREZG","mu11ksuba.mm.entrezg","mu11ksubammentrezg"
"mu11ksubb","[Mu11KsubB] Affymetrix Murine 11K SubB Array","GPL76","Affymetrix","Mus musculus",6595,"Mu11KsubB","Mu11KsubB_Mm_ENTREZG","mu11ksubb.mm.entrezg","mu11ksubbmmentrezg"
"porcine","[Porcine] Affymetrix Porcine Genome Array","GPL3533","Affymetrix","Sus scrofa",24123,"Porcine","Porcine_Ss_ENTREZG","porcine.ss.entrezg","porcinessentrezg"
"rae230a","[RAE230A] Affymetrix Rat Expression 230A Array","GPL341","Affymetrix","Rattus norvegicus",15923,"RAE230A","RAE230A_Rn_ENTREZG","rae230a.rn.entrezg","rae230arnentrezg"
"rae230b","[RAE230B] Affymetrix Rat Expression 230B Array","GPL342","Affymetrix","Rattus norvegicus",15333,"RAE230B","RAE230B_Rn_ENTREZG","rae230b.rn.entrezg","rae230brnentrezg"
"rat2302","[Rat230_2] Affymetrix Rat Genome 230 2.0 Array","GPL1355","Affymetrix","Rattus norvegicus",31099,"Rat2302","Rat2302_Rn_ENTREZG","rat2302.rn.entrezg","rat2302rnentrezg"
"rgu34a","[RG_U34A] Affymetrix Rat Genome U34 Array","GPL85","Affymetrix","Rattus norvegicus",8799,"RGU34A","RGU34A_Rn_ENTREZG","rgu34a.rn.entrezg","rgu34arnentrezg"
"rgu34b","[RG_U34B] Affymetrix Rat Genome U34 Array","GPL86","Affymetrix","Rattus norvegicus",8791,"RGU34B","RGU34B_Rn_ENTREZG","rgu34b.rn.entrezg","rgu34brnentrezg"
"rgu34c","[RG_U34C] Affymetrix Rat Genome U34 Array","GPL87","Affymetrix","Rattus norvegicus",8789,"RGU34C","RGU34C_Rn_ENTREZG","rgu34c.rn.entrezg","rgu34crnentrezg"
"rnu34","[RN_U34] Affymetrix Rat Neurobiology U34 Array","GPL88","Affymetrix","Rattus norvegicus",1322,"RNU34","RNU34_Rn_ENTREZG","rnu34.rn.entrezg","rnu34rnentrezg"
"rtu34","[RT_U34] Affymetrix Rat Toxicology U34 Array","GPL89","Affymetrix","Rattus norvegicus",1031,"RTU34","RTU34_Rn_ENTREZG","rtu34.rn.entrezg","rtu34rnentrezg"
"u133x3p","[U133_X3P] Affymetrix Human X3P Array","GPL1352","Affymetrix","Homo sapiens",61359,"U133X3P","U133X3P_Hs_ENTREZG","u133x3p.hs.entrezg","u133x3phsentrezg"
"yeast2","[Yeast_2] Affymetrix Yeast Genome 2.0 Array","GPL2529","Affymetrix","Schizosaccharomyces pombe;	Saccharomyces cerevisiae",10928,"Yeast2","Yeast2_Sc_ENTREZG","yeast2.sc.entrezg","yeast2scentrezg"
"ygs98","[YG_S98] Affymetrix Yeast Genome S98 Array","GPL90","Affymetrix","Saccharomyces cerevisiae",9335,"YGS98","YGS98_Sc_ENTREZG","ygs98.sc.entrezg","ygs98scentrezg"
"zebrafish","[Zebrafish] Affymetrix Zebrafish Genome Array","GPL1319","Affymetrix","Danio rerio",15617,"Zebrafish","Zebrafish_Dr_ENTREZG","zebrafish.dr.entrezg","zebrafishdrentrezg"
